date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,geography
2015-03-08,1.62,16545.05,818.74,13266.68,0.0,2459.63,2459.63,0.0,0.0,organic,2015,Chicago
2017-07-09,2.4,2789.76,0.0,148.65,0.0,2641.11,861.32,1779.79,0.0,organic,2017,Syracuse
2015-05-31,1.29,764114.39,192708.56,469208.86,26109.55,76087.42,75077.58,1009.84,0.0,conventional,2015,San Francisco
2020-05-24,1.31,232141.0,18526.0,3148.0,2925.0,207541.0,123839.0,83702.0,0.0,organic,2020,South Central
2020-01-26,2.0,58211.27,3308.83,4281.27,0.0,50621.17,50503.3,117.87,0.0,organic,2020,San Francisco
2020-10-11,1.93,64707.07,2538.72,4812.53,0.0,57355.82,56931.98,423.84,0.0,organic,2020,San Francisco
2018-05-13,1.78,17850.64,4049.62,10897.1,0.0,2903.92,2900.59,3.33,0.0,organic,2018,San Diego
2018-05-20,1.63,13608.12,1567.43,2221.79,0.0,9818.9,9818.9,0.0,0.0,organic,2018,Las Vegas
2019-12-15,1.69,15143.36,6008.93,21.12,0.0,9113.31,9108.34,4.97,0.0,organic,2019,Houston
2015-11-08,1.22,329065.04,223219.98,37562.72,21.15,68261.19,36440.1,31818.17,2.92,conventional,2015,Miami/Ft. Lauderdale
2019-09-01,1.2,221464.1,43894.29,39977.1,4692.06,132900.65,104980.74,17787.9,10132.01,conventional,2019,Indianapolis
2020-04-19,1.47,16775.02,68.08,1400.58,0.0,15306.36,4010.16,11296.2,0.0,organic,2020,Nashville
2016-02-14,1.72,1023.51,31.66,831.75,0.0,160.1,16.67,143.43,0.0,organic,2016,Louisville
2017-02-05,1.49,104027.11,1216.04,78340.67,44.0,24426.4,24392.2,34.2,0.0,conventional,2017,Syracuse
2019-08-04,1.77,455672.4,126750.89,224967.9,1845.34,102108.27,84752.63,16305.32,1050.32,conventional,2019,Sacramento
2018-02-25,0.88,895671.55,431217.01,171532.79,10590.75,282331.0,125973.31,147040.26,9317.43,conventional,2018,West Tex/New Mexico
2017-07-09,1.47,237446.62,41065.78,129466.37,176.98,66737.49,49614.54,8987.95,8135.0,conventional,2017,Harrisburg/Scranton
2020-05-03,1.02,504348.3,83344.41,60934.03,118.71,359951.15,118634.83,237770.56,3545.76,conventional,2020,Las Vegas
2018-04-15,1.12,366610.78,86919.6,159931.45,329.42,119430.31,113599.44,3718.64,2112.23,conventional,2018,Harrisburg/Scranton
2018-08-19,0.92,1326030.61,580107.43,269589.39,9035.91,467297.88,350600.65,116118.31,578.92,conventional,2018,Dallas/Ft. Worth
2017-12-17,1.28,6777.66,25.76,782.74,0.0,5969.16,5965.83,3.33,0.0,organic,2017,Grand Rapids
2018-02-11,1.25,8859.53,11.55,2034.77,0.0,6813.21,6813.21,0.0,0.0,organic,2018,Grand Rapids
2016-11-27,1.4,1858065.15,421295.51,729252.94,33160.82,674355.88,589240.41,82533.8,2581.67,conventional,2016,Midsouth
2015-01-04,1.02,160130.15,4007.41,118435.79,1201.5,36485.45,20325.41,16160.04,0.0,conventional,2015,Indianapolis
2015-09-13,1.1,257374.81,97653.71,69978.38,102.06,89640.66,50111.01,39529.65,0.0,conventional,2015,Tampa
2020-03-01,1.45,17077.99,157.69,3615.94,49.47,13254.89,5046.8,8208.09,0.0,organic,2020,Charlotte
2018-09-02,1.16,196592.12,43757.66,41357.34,127.62,111349.5,83183.61,26919.23,1246.66,conventional,2018,Roanoke
2017-06-25,1.64,12534.75,656.89,5010.34,83.67,6783.85,3312.08,3471.77,0.0,organic,2017,Richmond/Norfolk
2015-10-11,1.17,222606.79,47887.85,54545.59,69417.88,50755.47,48621.59,2133.88,0.0,conventional,2015,Raleigh/Greensboro
2019-08-11,1.42,23751.95,21.56,1790.94,23.13,21916.32,19926.89,1989.43,0.0,organic,2019,Richmond/Norfolk
2015-03-22,0.71,1089117.0,813326.5,208871.24,6035.48,60883.78,60874.89,8.89,0.0,conventional,2015,Phoenix/Tucson
2016-07-24,1.51,7005.43,149.8,4086.11,0.0,2769.52,1330.89,1438.63,0.0,organic,2016,Roanoke
2016-10-16,1.6,453605.17,6472.04,345051.11,4742.43,97339.59,97339.59,0.0,0.0,conventional,2016,Boston
2020-09-06,0.95,9026449.59,1975837.16,1152252.54,33199.6,5864954.14,2726358.78,3060566.48,78028.88,conventional,2020,West
2017-07-16,1.34,2827404.11,566734.82,1217131.68,26712.77,1016824.84,860213.61,122607.37,34003.86,conventional,2017,Midsouth
2015-05-17,1.15,422484.37,2745.99,287792.49,29.88,131916.01,131904.74,11.27,0.0,conventional,2015,Northern New England
2020-09-20,1.04,3200.48,62.48,0.0,0.0,3138.0,3131.34,6.66,0.0,organic,2020,Tampa
2020-07-26,1.64,340983.11,16404.14,30002.6,1619.61,292956.76,272776.19,20180.57,0.0,organic,2020,Northeast
2020-04-05,1.34,44795.69,13546.59,2099.43,33.59,29116.08,7504.47,21611.61,0.0,organic,2020,Denver
2016-12-25,1.59,6491.55,293.57,2329.01,197.27,3671.7,2797.68,874.02,0.0,organic,2016,South Carolina
2018-04-29,1.08,883607.95,26040.67,730367.87,1100.96,126098.45,83226.21,40942.24,1930.0,conventional,2018,Boston
2017-12-17,0.98,6205211.05,1901831.08,2877209.2,115250.14,1310920.63,1229946.93,21220.86,59752.84,conventional,2017,California
2015-01-04,0.75,758118.95,426878.87,147958.43,15267.89,168013.76,165202.22,2811.54,0.0,conventional,2015,West Tex/New Mexico
2019-07-07,1.71,16238.63,44.88,1222.52,0.0,14971.23,10499.4,4471.83,0.0,organic,2019,Roanoke
2018-02-04,1.45,185270.31,4670.38,53564.29,0.0,126791.01,114470.1,12320.91,0.0,organic,2018,Great Lakes
2016-12-04,1.43,5860.55,1873.62,421.89,0.0,3565.04,563.33,3001.71,0.0,organic,2016,St. Louis
2015-08-02,1.18,274423.66,139950.79,50642.05,170.4,83660.42,68312.39,15348.03,0.0,conventional,2015,Tampa
2017-09-17,2.21,11850.68,184.23,3603.67,86.44,7976.34,6711.54,1264.8,0.0,organic,2017,South Carolina
2016-11-27,1.09,4187550.98,1525325.69,938768.71,86789.7,1636666.88,1068035.07,565542.44,3089.37,conventional,2016,West
2016-04-24,2.01,8840.73,1726.1,6795.19,0.0,319.44,319.44,0.0,0.0,organic,2016,Sacramento
2015-03-29,1.11,627546.3,160679.31,371990.15,4760.21,90116.63,55936.09,34180.54,0.0,conventional,2015,Denver
2015-03-15,1.04,29572225.71,13149988.71,10634070.76,871575.04,4916591.2,4287621.56,614904.92,14064.72,conventional,2015,Total U.S.
2018-10-07,1.06,4015135.14,694486.22,1162503.32,427053.45,1731092.15,1226221.52,463436.56,41434.07,conventional,2018,Great Lakes
2015-08-02,1.05,184067.49,4122.95,109853.88,10359.57,59731.09,55048.69,4030.14,652.26,conventional,2015,Grand Rapids
2016-11-20,1.36,117495.72,35506.8,19385.22,192.2,62411.5,22359.45,40052.05,0.0,conventional,2016,Jacksonville
2019-09-08,1.09,280801.15,102496.82,7304.47,403.0,170596.86,134361.11,33435.67,2800.08,conventional,2019,Nashville
2015-11-01,1.9,5479.7,1136.13,4277.28,0.0,66.29,66.29,0.0,0.0,organic,2015,Sacramento
2015-06-28,1.17,217234.17,107631.08,40137.34,54.82,69410.93,69371.63,39.3,0.0,conventional,2015,St. Louis
2020-11-22,1.31,9908.49,3.0,916.92,0.0,8988.57,193.6,7820.8,974.17,organic,2020,Louisville
2019-02-10,1.71,10372.51,1878.41,1806.64,0.0,6687.46,5144.15,1543.31,0.0,organic,2019,St. Louis
2019-09-15,1.1,561127.36,197554.2,12104.15,2945.0,348524.01,135884.23,210727.56,1912.22,conventional,2019,Orlando
2015-07-05,2.24,9519.72,1816.12,6858.33,123.46,721.81,721.81,0.0,0.0,organic,2015,New York
2019-10-20,1.32,4576.22,8.72,545.38,0.0,4022.12,4002.75,19.37,0.0,organic,2019,Louisville
2020-10-11,1.41,219031.78,4976.04,15999.22,0.0,198044.19,93931.89,104001.47,110.83,organic,2020,Great Lakes
2015-05-31,1.49,10940.85,2933.55,6895.9,0.0,1111.4,1111.4,0.0,0.0,organic,2015,San Diego
2016-11-13,1.29,24113.8,8091.95,1338.55,12.7,14670.6,1493.33,13177.27,0.0,organic,2016,Denver
2017-01-15,1.7,103487.72,4370.03,67260.09,0.0,31857.6,25703.71,6153.89,0.0,organic,2017,Great Lakes
2020-03-08,1.53,73335.03,6562.09,9276.56,23.91,57472.47,41272.82,16199.65,0.0,organic,2020,Plains
2015-03-29,1.87,1005.21,46.7,631.84,0.0,326.67,326.67,0.0,0.0,organic,2015,Grand Rapids
2018-06-10,1.57,42780.25,223.62,20577.37,0.0,21979.26,21955.93,23.33,0.0,organic,2018,Chicago
2019-06-09,1.68,142688.04,5482.29,58240.23,37329.38,41636.14,29405.08,9488.99,2742.07,conventional,2019,Grand Rapids
2020-10-04,1.27,55772.22,6516.93,2553.76,16.58,46684.95,40082.21,6602.74,0.0,organic,2020,Plains
2020-08-30,1.24,7007.37,24.87,0.0,0.0,6982.5,3369.37,3613.13,0.0,organic,2020,New Orleans/Mobile
2019-01-20,0.85,301045.77,76588.11,54524.42,4245.99,165687.25,142890.25,22767.57,29.43,conventional,2019,Columbus
2018-02-25,1.78,9497.75,2169.03,4285.39,0.0,3043.33,3036.67,6.66,0.0,organic,2018,Sacramento
2016-03-13,1.4,91287.93,3388.4,46780.43,2001.92,39117.18,21173.39,17943.79,0.0,organic,2016,Midsouth
2016-07-17,1.21,118903.02,44998.45,6759.41,0.0,67145.16,47727.73,19417.43,0.0,organic,2016,South Central
2018-10-28,1.36,41845.54,781.79,4184.82,28.44,36850.49,36850.49,0.0,0.0,organic,2018,Baltimore/Washington
2018-03-04,1.44,16468.01,206.2,5412.8,71.81,10777.2,9893.94,883.26,0.0,organic,2018,South Carolina
2017-05-28,0.97,282671.14,149461.62,7592.89,149.22,125467.41,85799.73,37474.7,2192.98,conventional,2017,Nashville
2015-11-15,1.64,1350.16,0.0,114.22,0.0,1235.94,1235.94,0.0,0.0,organic,2015,Syracuse
2015-02-22,1.41,136421.88,102232.31,25715.73,0.0,8473.84,8470.51,3.33,0.0,organic,2015,California
2017-03-05,2.61,3705.46,1712.14,127.26,0.0,1866.06,1367.78,498.28,0.0,organic,2017,Tampa
2018-07-29,1.17,175666.82,5797.7,73719.33,45.27,96104.52,78448.9,16982.29,673.33,conventional,2018,Buffalo/Rochester
2019-06-09,1.2,1408.7,147.37,0.0,0.0,1261.33,1261.33,0.0,0.0,organic,2019,Tampa
2018-04-08,1.84,2664.86,1.43,1403.62,0.0,1259.81,484.78,775.03,0.0,organic,2018,Boise
2020-04-05,0.95,311225.2,103192.68,15023.61,1873.0,191135.91,183926.46,6574.93,634.52,conventional,2020,Columbus
2018-02-11,0.93,558926.47,222366.32,136214.59,16577.9,183767.66,175708.38,5873.73,2185.55,conventional,2018,San Diego
2017-01-22,1.59,128679.24,4119.94,111173.08,2191.71,11194.51,11060.19,125.5,8.82,conventional,2017,Albany
2017-11-26,0.96,4362824.0,2377638.0,713646.0,14770.0,1256771.0,870931.0,385677.0,162.0,conventional,2017,South Central
2018-01-28,1.87,170998.81,30070.62,58357.89,0.0,82570.3,82563.11,7.19,0.0,organic,2018,California
2017-10-08,1.28,713847.15,334851.45,146162.7,2097.5,230735.5,183526.64,47192.19,16.67,conventional,2017,Phoenix/Tucson
2020-02-09,1.5,6321.06,15.18,780.62,0.0,5525.26,2819.58,2705.68,0.0,organic,2020,Spokane
2017-04-23,1.77,4478.9,322.84,1586.56,8.5,2561.0,30.0,2531.0,0.0,organic,2017,Spokane
2015-03-15,1.19,71766.04,32528.5,26391.31,3967.68,8878.55,8878.55,0.0,0.0,conventional,2015,Spokane
2017-04-23,0.96,6822109.27,2342474.18,1457625.39,145286.81,2876722.89,1494551.63,1378030.25,4141.01,conventional,2017,West
2018-01-21,1.69,181974.98,34411.37,64513.67,0.0,83049.94,83022.84,27.1,0.0,organic,2018,California
2017-01-22,1.17,3394184.15,737948.84,1519035.24,94412.42,1042787.65,859648.57,181562.03,1577.05,conventional,2017,Midsouth
2018-06-03,1.1,646079.08,49524.27,512665.84,1048.21,82840.76,39534.66,42238.33,1067.77,conventional,2018,Northern New England
2015-09-27,1.25,368779.77,14983.22,255352.91,497.49,97946.15,82669.93,15276.22,0.0,conventional,2015,Philadelphia
2016-03-06,1.08,331997.49,149559.05,67539.98,20.59,114877.87,62840.15,52037.72,0.0,conventional,2016,Tampa
2019-10-20,1.38,804103.67,83795.96,392264.36,4443.59,323599.76,206322.32,115128.23,2149.21,conventional,2019,Baltimore/Washington
2016-10-30,1.43,21009730.21,7100458.82,6852046.35,453145.26,6604079.78,4655045.62,1882750.65,66283.51,conventional,2016,Total U.S.
2019-03-31,1.55,43257.45,511.79,9906.32,0.0,32839.34,32839.34,0.0,0.0,organic,2019,Chicago
2016-10-23,1.34,24753513.95,7579629.06,8104522.26,452383.96,8616978.67,6508666.81,2016513.03,91798.83,conventional,2016,Total U.S.
2016-12-11,0.84,6648833.68,1687192.84,1545122.38,86234.32,3330284.14,2543800.78,778604.87,7878.49,conventional,2016,West
2019-11-17,0.91,241897.0,97339.0,7552.0,313.0,136694.0,118351.0,17748.0,595.0,conventional,2019,Nashville
2016-02-07,0.83,2838853.24,1206795.22,1165322.88,29501.59,437233.55,373119.34,62700.76,1413.45,conventional,2016,Plains
2018-01-01,1.51,25693.99,3639.53,3807.79,0.0,18246.67,1265.87,16973.41,7.39,organic,2018,Portland
2016-10-23,1.69,961.36,0.0,37.97,0.0,923.39,923.39,0.0,0.0,organic,2016,Syracuse
2015-07-26,2.07,2588.12,486.58,2057.91,1.88,41.75,0.0,41.75,0.0,organic,2015,Spokane
2017-01-08,1.3,275064.65,51590.9,153751.13,98.83,69623.79,67890.58,1733.21,0.0,conventional,2017,Harrisburg/Scranton
2018-01-01,0.95,649352.59,341061.46,41818.27,961.18,265511.68,173990.02,88882.27,2639.39,conventional,2018,Atlanta
2016-02-21,2.24,4735.53,127.66,2709.06,6.72,1892.09,1892.09,0.0,0.0,organic,2016,Hartford/Springfield
2016-05-01,0.85,363104.7,122124.69,115747.2,8420.15,116812.66,65345.85,51258.48,208.33,conventional,2016,Las Vegas
2019-03-10,1.38,585967.67,113001.25,173704.18,1366.91,297895.33,119946.99,173064.6,4883.74,conventional,2019,Seattle
2015-03-22,2.09,1169.94,45.7,391.89,0.0,732.35,732.35,0.0,0.0,organic,2015,Harrisburg/Scranton
2019-12-01,1.38,130061.0,4115.0,37084.0,36696.0,52167.0,42717.0,3461.0,5989.0,conventional,2019,Grand Rapids
2018-02-11,1.4,468936.03,98161.81,129399.46,631.78,240742.98,136973.79,103420.83,348.36,conventional,2018,Seattle
2016-11-06,1.43,446970.37,58648.4,130208.79,528.77,257584.41,256977.65,241.61,365.15,conventional,2016,Seattle
2017-10-01,2.0,128592.98,68330.79,14372.21,49.83,45840.15,19480.95,26359.2,0.0,conventional,2017,Jacksonville
2016-08-28,1.51,12471.57,784.67,3574.06,406.28,7706.56,6005.61,1700.95,0.0,organic,2016,South Carolina
2019-12-01,1.04,332956.0,127604.0,27335.0,861.0,177157.0,121346.0,55017.0,793.0,conventional,2019,South Carolina
2019-05-05,1.89,19295.19,3358.68,3965.77,0.0,11970.74,7107.36,4863.38,0.0,organic,2019,Philadelphia
2016-05-08,1.48,4317.01,932.93,14.08,0.0,3370.0,3363.33,6.67,0.0,organic,2016,Miami/Ft. Lauderdale
2016-11-06,3.12,19043.8,5898.49,10039.34,0.0,3105.97,3079.3,26.67,0.0,organic,2016,San Francisco
2018-10-28,1.06,302288.5,151637.88,21278.45,1058.0,128314.17,91935.19,35466.76,912.22,conventional,2018,New Orleans/Mobile
2020-04-26,1.88,7690.0,17.0,759.0,0.0,6914.0,1595.0,5318.0,0.0,organic,2020,Spokane
2020-08-23,0.99,4139386.88,1235125.08,96624.06,122200.54,2685437.2,1571191.0,1027732.89,86513.31,conventional,2020,Los Angeles
2019-09-15,1.46,138637.72,22758.33,1863.88,3363.39,110652.12,108223.65,2428.47,0.0,organic,2019,South Central
2016-07-03,0.85,20324.1,2065.19,6670.1,0.0,11588.81,1465.71,10123.1,0.0,organic,2016,Atlanta
2017-01-29,1.18,7932.55,339.58,3824.05,0.0,3768.92,1293.27,2475.65,0.0,organic,2017,Roanoke
2015-07-12,1.25,75144.87,577.45,43147.8,2809.38,28610.24,28512.46,97.78,0.0,conventional,2015,Syracuse
2016-08-14,1.53,1391.44,12.41,124.07,0.0,1254.96,1254.96,0.0,0.0,organic,2016,Syracuse
2015-05-03,1.64,8315.7,4124.83,4001.1,0.0,189.77,189.77,0.0,0.0,organic,2015,Sacramento
2017-05-28,2.55,10273.69,315.52,5326.02,364.99,4267.16,2844.43,1422.73,0.0,organic,2017,Raleigh/Greensboro
2018-11-04,1.01,290387.25,166333.37,17824.07,1097.0,105132.81,75778.9,29323.91,30.0,conventional,2018,New Orleans/Mobile
2020-07-12,1.38,13372.38,849.32,1159.79,0.0,11363.27,2714.83,8648.44,0.0,organic,2020,Columbus
2017-01-01,1.28,15307.87,867.66,3434.02,37.3,10968.89,10815.88,153.01,0.0,organic,2017,West Tex/New Mexico
2016-02-14,1.14,87228.1,2425.21,52891.65,1332.2,30579.04,19080.09,11498.95,0.0,conventional,2016,Pittsburgh
2017-05-28,1.16,8676.66,435.62,2257.51,0.0,5983.53,341.21,5642.32,0.0,organic,2017,Nashville
2020-10-04,1.35,33750.25,2274.45,961.51,0.0,30514.29,17461.62,13052.67,0.0,organic,2020,Phoenix/Tucson
2018-08-12,1.8,10384.58,2217.84,3763.41,1.34,4401.99,4385.32,16.67,0.0,organic,2018,Sacramento
2020-04-05,1.85,21003.42,6479.2,3325.1,6.88,11192.24,11189.18,3.06,0.0,organic,2020,Sacramento
2016-06-05,1.09,99179.74,2153.72,56150.97,9893.38,30981.67,15423.24,12558.7,2999.73,conventional,2016,Louisville
2018-08-26,1.71,8957.42,83.89,2678.28,33.88,6161.37,4699.1,1462.27,0.0,organic,2018,St. Louis
2017-10-15,2.09,19027.31,10237.78,8211.76,0.0,577.77,577.77,0.0,0.0,organic,2017,San Francisco
2018-11-25,1.45,4897.91,226.43,820.19,0.0,3851.29,2884.98,966.31,0.0,organic,2018,Roanoke
2019-09-08,1.51,681817.44,11168.9,513172.25,1932.54,155543.75,126925.14,25651.95,2966.66,conventional,2019,Boston
2019-09-22,1.84,88948.59,11938.61,11027.95,20.16,65961.87,62417.1,3544.77,0.0,organic,2019,New York
2017-04-09,1.04,15659.62,659.45,4489.03,247.92,10263.22,2985.66,7277.56,0.0,organic,2017,Richmond/Norfolk
2016-01-10,1.54,1708.27,0.0,138.34,0.0,1569.93,1240.35,329.58,0.0,organic,2016,Syracuse
2019-04-21,1.29,351099.13,74564.01,143297.69,569.65,132667.78,120903.93,11643.85,120.0,conventional,2019,Harrisburg/Scranton
2015-08-16,1.88,32159.33,5368.34,15506.11,35.65,11249.23,9695.15,1554.08,0.0,organic,2015,Plains
2019-06-23,2.21,12377.5,172.32,3648.35,0.0,8556.83,4610.64,3946.19,0.0,organic,2019,Atlanta
2019-01-20,1.52,1647038.75,148018.1,255799.0,7280.38,1235928.09,963874.71,272001.78,51.6,organic,2019,Total U.S.
2017-08-13,1.0,1263766.23,677058.95,260341.69,2582.06,323783.53,157631.88,164728.16,1423.49,conventional,2017,Dallas/Ft. Worth
2018-07-01,1.46,13969.35,1499.56,7.06,0.0,12462.73,12462.73,0.0,0.0,organic,2018,Pittsburgh
2019-02-17,1.09,100175.96,50977.02,5821.58,6990.74,36386.62,19044.97,17314.56,27.09,conventional,2019,Boise
2017-02-26,0.86,6928736.97,2178473.36,1444476.86,130710.99,3175075.76,1944844.66,1227429.31,2801.79,conventional,2017,West
2020-09-27,1.94,19580.18,611.07,9507.65,0.0,9461.46,9455.21,6.25,0.0,organic,2020,Hartford/Springfield
2016-10-16,1.4,2442981.97,642844.77,921533.78,76681.49,801921.93,673260.91,128075.74,585.28,conventional,2016,Midsouth
2017-07-09,1.32,2106705.01,785869.03,554318.38,45371.29,721146.31,710273.4,5457.82,5415.09,conventional,2017,Plains
2015-09-27,1.1,2770074.76,343271.52,1605775.14,344488.51,476539.59,327299.75,103091.55,46148.29,conventional,2015,Great Lakes
2018-11-18,1.16,146651.06,9540.71,58570.94,112.73,78426.68,68237.06,10189.62,0.0,conventional,2018,Buffalo/Rochester
2015-03-29,1.88,5076.62,2016.24,2847.3,0.0,213.08,40.41,172.67,0.0,organic,2015,Atlanta
2018-01-28,1.07,566134.81,168171.75,256042.84,16669.82,125250.4,118366.92,4446.82,2436.66,conventional,2018,San Diego
2020-09-13,1.55,16212.09,99.82,3453.56,38.73,12619.98,10773.68,1846.3,0.0,organic,2020,Charlotte
2018-08-12,1.12,40901950.01,12048457.63,12657830.87,881278.72,15314382.79,10707557.83,4270142.34,336682.62,conventional,2018,Total U.S.
2020-04-12,1.41,2725.02,89.98,430.61,0.0,2204.43,2188.72,15.71,0.0,organic,2020,Jacksonville
2018-02-04,0.76,1272039.8,531469.08,368948.26,13078.2,358544.26,127833.03,229786.03,925.2,conventional,2018,West Tex/New Mexico
2016-02-28,1.62,14556.02,503.01,8253.43,308.93,5490.65,1187.22,4303.43,0.0,organic,2016,Baltimore/Washington
2017-04-09,1.24,17575.92,1623.51,3932.58,0.0,12019.83,11935.27,84.56,0.0,organic,2017,Las Vegas
